TALHAO;AREA_TALHAO;ESPAC;PARCELA;AREA_PARCELA;COVA;DAP;HT;OBS;hd_not;ht_est_not;AS;IDADE;vcc_est_not;vsc_est_not
2;45;3x3;2;810;33;14,5;NA;N;23,76;23,39401808;0,016512996;66,1;0,187011464;0,163652616
2;45;3x3;2;810;34;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;35;13;NA;N;23,76;22,37553002;0,013273229;66,1;0,145774231;0,127062352
2;45;3x3;2;810;36;13,5;NA;N;23,76;22,73497506;0,014313882;66,1;0,158957726;0,138740486
2;45;3x3;2;810;37;12;NA;N;23,76;21,58742006;0,011309734;66,1;0,121101889;0,105263341
2;45;3x3;2;810;38;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;39;15,5;24,5;D;23,76;24,5;0,018869191;66,1;0,221397787;0,194081608
2;45;3x3;2;810;40;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;41;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;42;12;NA;N;23,76;21,58742006;0,011309734;66,1;0,121101889;0,105263341
2;45;3x3;2;810;43;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;44;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;45;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;46;17;NA;N;23,76;24,75956409;0,022698007;66,1;0,266915974;0,234994519
2;45;3x3;2;810;47;9;NA;N;23,76;18,48074708;0,006361725;66,1;0,060762186;0,052338349
2;45;3x3;2;810;48;13,5;NA;N;23,76;22,73497506;0,014313882;66,1;0,158957726;0,138740486
2;45;3x3;2;810;49;17;24,7;D;23,76;24,7;0,022698007;66,1;0,266353369;0,234519261
2;45;3x3;2;810;50;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;51;13;NA;N;23,76;22,37553002;0,013273229;66,1;0,145774231;0,127062352
2;45;3x3;2;810;52;15,5;22,3;D;23,76;22,3;0,018869191;66,1;0,203881268;0,17932458
2;45;3x3;2;810;53;12,5;NA;N;23,76;21,99370971;0,012271846;66,1;0,133155079;0,115903217
2;45;3x3;2;810;54;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;55;16;NA;N;23,76;24,25557959;0,020106193;66,1;0,233286404;0,20490592
2;45;3x3;2;810;56;17;24,2;D;23,76;24,2;0,022698007;66,1;0,261624008;0,230522537
2;45;3x3;2;810;57;15,5;NA;N;23,76;23,98356984;0,018869191;66,1;0,217304117;0,190637221
2;45;3x3;2;810;58;14,5;NA;N;23,76;23,39401808;0,016512996;66,1;0,187011464;0,163652616
2;45;3x3;2;810;59;15,5;NA;N;23,76;23,98356984;0,018869191;66,1;0,217304117;0,190637221
2;45;3x3;2;810;60;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;61;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;62;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;63;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;64;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;65;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;66;13;NA;N;23,76;22,37553002;0,013273229;66,1;0,145774231;0,127062352
2;45;3x3;2;810;67;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;68;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
