TALHAO;AREA_TALHAO;ESPAC;PARCELA;AREA_PARCELA;COVA;DAP;HT;OBS;AS;IDADE
2;45;3x3;2;810;89;13;NA;N;0,013273229;66,1
2;45;3x3;2;810;90;16;NA;N;0,020106193;66,1
2;45;3x3;3;810;1;13;20,9;N;0,013273229;63,1
2;45;3x3;3;810;2;14;20,3;N;0,015393804;63,1
2;45;3x3;3;810;3;13;21;N;0,013273229;63,1
2;45;3x3;3;810;4;13;19,7;N;0,013273229;63,1
2;45;3x3;3;810;5;11,5;18,9;N;0,010386891;63,1
2;45;3x3;3;810;6;12;19,4;N;0,011309734;63,1
2;45;3x3;3;810;7;13,5;20,5;N;0,014313882;63,1
2;45;3x3;3;810;8;13;19,5;N;0,013273229;63,1
2;45;3x3;3;810;9;9;17,2;N;0,006361725;63,1
2;45;3x3;3;810;10;13;19,4;N;0,013273229;63,1
2;45;3x3;3;810;11;12;18,9;N;0,011309734;63,1
2;45;3x3;3;810;12;12;19,3;N;0,011309734;63,1
2;45;3x3;3;810;13;12;20;N;0,011309734;63,1
2;45;3x3;3;810;14;11,5;20;N;0,010386891;63,1
2;45;3x3;3;810;15;12,5;20,1;N;0,012271846;63,1
2;45;3x3;3;810;16;13,5;NA;N;0,014313882;63,1
2;45;3x3;3;810;17;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;18;13,5;NA;N;0,014313882;63,1
2;45;3x3;3;810;19;12,5;NA;N;0,012271846;63,1
2;45;3x3;3;810;20;14,5;NA;N;0,016512996;63,1
2;45;3x3;3;810;21;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;22;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;23;13,5;NA;N;0,014313882;63,1
2;45;3x3;3;810;24;12;NA;N;0,011309734;63,1
2;45;3x3;3;810;25;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;26;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;27;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;28;11,5;NA;N;0,010386891;63,1
2;45;3x3;3;810;29;12,5;NA;N;0,012271846;63,1
2;45;3x3;3;810;30;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;31;12;NA;N;0,011309734;63,1
2;45;3x3;3;810;32;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;33;12;NA;N;0,011309734;63,1
2;45;3x3;3;810;34;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;35;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;36;13,5;NA;N;0,014313882;63,1
2;45;3x3;3;810;37;13,5;NA;N;0,014313882;63,1
2;45;3x3;3;810;38;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;39;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;40;12,5;NA;N;0,012271846;63,1
2;45;3x3;3;810;41;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;42;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;43;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;44;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;45;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;46;12;NA;N;0,011309734;63,1
2;45;3x3;3;810;47;12;NA;N;0,011309734;63,1
2;45;3x3;3;810;48;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;49;12;NA;N;0,011309734;63,1
2;45;3x3;3;810;50;11;NA;N;0,009503318;63,1
2;45;3x3;3;810;51;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;52;11,5;NA;N;0,010386891;63,1
2;45;3x3;3;810;53;10,5;NA;N;0,008659015;63,1
2;45;3x3;3;810;54;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;55;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;56;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;58;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;59;13,5;NA;N;0,014313882;63,1
2;45;3x3;3;810;60;13,5;NA;N;0,014313882;63,1
2;45;3x3;3;810;61;11,5;NA;N;0,010386891;63,1
2;45;3x3;3;810;62;12;NA;N;0,011309734;63,1
2;45;3x3;3;810;63;13,5;20,3;D;0,014313882;63,1
2;45;3x3;3;810;64;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;65;11,5;NA;N;0,010386891;63,1
2;45;3x3;3;810;66;12;NA;N;0,011309734;63,1
2;45;3x3;3;810;67;13,5;NA;N;0,014313882;63,1
2;45;3x3;3;810;68;12,5;NA;N;0,012271846;63,1
2;45;3x3;3;810;69;12;NA;N;0,011309734;63,1
2;45;3x3;3;810;70;11;NA;N;0,009503318;63,1
2;45;3x3;3;810;71;13;20,5;D;0,013273229;63,1
2;45;3x3;3;810;72;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;73;13,5;21,3;D;0,014313882;63,1
2;45;3x3;3;810;74;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;75;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;76;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;77;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;78;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;79;11,5;NA;N;0,010386891;63,1
2;45;3x3;3;810;80;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;81;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;82;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;83;13,5;21,2;D;0,014313882;63,1
2;45;3x3;3;810;84;14;NA;N;0,015393804;63,1
2;45;3x3;3;810;85;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;86;12,5;20,2;D;0,012271846;63,1
2;45;3x3;3;810;87;14,5;NA;N;0,016512996;63,1
2;45;3x3;3;810;88;13;NA;N;0,013273229;63,1
2;45;3x3;3;810;89;15;NA;N;0,017671459;63,1
2;45;3x3;3;810;90;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;1;13;19,2;N;0,013273229;63,1
4;51;3x3;4;810;2;11;18,2;N;0,009503318;63,1
4;51;3x3;4;810;3;12,5;18,6;N;0,012271846;63,1
4;51;3x3;4;810;4;12,5;18,8;N;0,012271846;63,1
4;51;3x3;4;810;5;13;19;N;0,013273229;63,1
4;51;3x3;4;810;6;13;19,4;N;0,013273229;63,1
4;51;3x3;4;810;7;10,5;16,8;N;0,008659015;63,1
4;51;3x3;4;810;8;12;19,1;N;0,011309734;63,1
4;51;3x3;4;810;9;13;19;N;0,013273229;63,1
4;51;3x3;4;810;10;12;19;N;0,011309734;63,1
4;51;3x3;4;810;11;13;17,9;N;0,013273229;63,1
4;51;3x3;4;810;12;13;18,2;N;0,013273229;63,1
4;51;3x3;4;810;13;12;18,2;N;0,011309734;63,1
4;51;3x3;4;810;14;11;18;N;0,009503318;63,1
4;51;3x3;4;810;15;11,5;18;N;0,010386891;63,1
4;51;3x3;4;810;16;11,5;NA;N;0,010386891;63,1
4;51;3x3;4;810;17;11,5;NA;N;0,010386891;63,1
4;51;3x3;4;810;18;11;NA;N;0,009503318;63,1
4;51;3x3;4;810;19;11;NA;N;0,009503318;63,1
4;51;3x3;4;810;20;11;NA;N;0,009503318;63,1
4;51;3x3;4;810;21;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;22;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;23;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;24;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;25;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;26;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;27;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;28;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;29;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;30;11,5;NA;N;0,010386891;63,1
4;51;3x3;4;810;31;10,5;NA;N;0,008659015;63,1
4;51;3x3;4;810;32;11,5;NA;N;0,010386891;63,1
4;51;3x3;4;810;33;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;34;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;35;9,5;NA;N;0,007088218;63,1
4;51;3x3;4;810;36;10;NA;N;0,007853982;63,1
4;51;3x3;4;810;37;10;NA;N;0,007853982;63,1
4;51;3x3;4;810;38;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;39;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;40;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;41;11,5;NA;N;0,010386891;63,1
4;51;3x3;4;810;42;11,5;NA;N;0,010386891;63,1
4;51;3x3;4;810;43;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;44;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;45;11;NA;N;0,009503318;63,1
4;51;3x3;4;810;46;11,5;NA;N;0,010386891;63,1
4;51;3x3;4;810;47;11;NA;N;0,009503318;63,1
4;51;3x3;4;810;48;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;49;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;50;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;51;11;NA;N;0,009503318;63,1
4;51;3x3;4;810;52;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;53;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;54;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;55;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;56;13,5;NA;N;0,014313882;63,1
4;51;3x3;4;810;57;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;58;11;NA;N;0,009503318;63,1
4;51;3x3;4;810;59;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;60;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;61;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;62;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;63;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;64;13,5;NA;N;0,014313882;63,1
4;51;3x3;4;810;65;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;66;13;20,6;D;0,013273229;63,1
4;51;3x3;4;810;67;13;20,2;D;0,013273229;63,1
4;51;3x3;4;810;68;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;69;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;70;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;71;13,5;20,8;D;0,014313882;63,1
4;51;3x3;4;810;72;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;73;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;74;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;75;13;19,3;D;0,013273229;63,1
4;51;3x3;4;810;76;13;19;D;0,013273229;63,1
4;51;3x3;4;810;77;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;78;11,5;NA;N;0,010386891;63,1
4;51;3x3;4;810;79;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;80;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;81;12;NA;N;0,011309734;63,1
4;51;3x3;4;810;82;12,5;NA;N;0,012271846;63,1
4;51;3x3;4;810;83;10;NA;N;0,007853982;63,1
4;51;3x3;4;810;84;15;NA;N;0,017671459;63,1
4;51;3x3;4;810;85;13;NA;N;0,013273229;63,1
4;51;3x3;4;810;86;13,5;NA;N;0,014313882;63,1
4;51;3x3;4;810;87;15,5;NA;N;0,018869191;63,1
4;51;3x3;4;810;88;14;NA;N;0,015393804;63,1
4;51;3x3;4;810;89;13,5;NA;N;0,014313882;63,1
4;51;3x3;4;810;90;15;NA;N;0,017671459;63,1
4;51;3x3;5;810;1;12,5;18,5;N;0,012271846;63,1
4;51;3x3;5;810;2;12;17,6;N;0,011309734;63,1
4;51;3x3;5;810;3;14;20,4;N;0,015393804;63,1
4;51;3x3;5;810;4;12,5;17,9;N;0,012271846;63,1
4;51;3x3;5;810;5;12;17,5;N;0,011309734;63,1
4;51;3x3;5;810;6;12;18;N;0,011309734;63,1
4;51;3x3;5;810;7;12,5;17,7;N;0,012271846;63,1
4;51;3x3;5;810;8;10,5;16,8;N;0,008659015;63,1
4;51;3x3;5;810;9;11;17,5;N;0,009503318;63,1
4;51;3x3;5;810;10;13,5;19;N;0,014313882;63,1
4;51;3x3;5;810;11;12;18,9;N;0,011309734;63,1
4;51;3x3;5;810;12;13;20,2;N;0,013273229;63,1
4;51;3x3;5;810;13;12;18,7;N;0,011309734;63,1
4;51;3x3;5;810;14;13;19,7;N;0,013273229;63,1
4;51;3x3;5;810;15;13;17,8;N;0,013273229;63,1
4;51;3x3;5;810;16;12;NA;N;0,011309734;63,1
4;51;3x3;5;810;17;11,5;NA;N;0,010386891;63,1
4;51;3x3;5;810;18;12,5;NA;N;0,012271846;63,1
4;51;3x3;5;810;19;14;NA;N;0,015393804;63,1
4;51;3x3;5;810;20;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;21;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;22;11;NA;N;0,009503318;63,1
4;51;3x3;5;810;23;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;24;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;25;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;26;14;NA;N;0,015393804;63,1
4;51;3x3;5;810;27;14;NA;N;0,015393804;63,1
4;51;3x3;5;810;28;14;NA;N;0,015393804;63,1
4;51;3x3;5;810;29;14,5;20,1;D;0,016512996;63,1
4;51;3x3;5;810;30;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;31;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;32;13;19,5;D;0,013273229;63,1
4;51;3x3;5;810;33;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;34;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;35;12;NA;N;0,011309734;63,1
4;51;3x3;5;810;36;12,5;19,6;D;0,012271846;63,1
4;51;3x3;5;810;37;12;NA;N;0,011309734;63,1
4;51;3x3;5;810;38;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;39;13,5;NA;N;0,014313882;63,1
4;51;3x3;5;810;40;5;NA;N;0,001963495;63,1
4;51;3x3;5;810;41;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;42;12,5;NA;N;0,012271846;63,1
4;51;3x3;5;810;43;13,5;NA;N;0,014313882;63,1
4;51;3x3;5;810;44;12;NA;N;0,011309734;63,1
4;51;3x3;5;810;45;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;46;12;NA;N;0,011309734;63,1
4;51;3x3;5;810;47;14;NA;N;0,015393804;63,1
4;51;3x3;5;810;48;12,5;NA;N;0,012271846;63,1
4;51;3x3;5;810;49;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;50;12;NA;N;0,011309734;63,1
4;51;3x3;5;810;51;12,5;NA;N;0,012271846;63,1
4;51;3x3;5;810;52;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;53;12;NA;N;0,011309734;63,1
4;51;3x3;5;810;54;13;19;D;0,013273229;63,1
4;51;3x3;5;810;55;12,5;NA;N;0,012271846;63,1
4;51;3x3;5;810;56;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;57;11,5;NA;N;0,010386891;63,1
4;51;3x3;5;810;58;13,5;NA;N;0,014313882;63,1
4;51;3x3;5;810;59;11;NA;N;0,009503318;63,1
4;51;3x3;5;810;60;12;NA;N;0,011309734;63,1
4;51;3x3;5;810;61;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;62;11;NA;N;0,009503318;63,1
4;51;3x3;5;810;63;14;NA;N;0,015393804;63,1
4;51;3x3;5;810;64;14;NA;N;0,015393804;63,1
4;51;3x3;5;810;65;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;66;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;67;12,5;19,8;D;0,012271846;63,1
4;51;3x3;5;810;68;13,5;NA;N;0,014313882;63,1
4;51;3x3;5;810;69;11;NA;N;0,009503318;63,1
4;51;3x3;5;810;70;13,5;NA;N;0,014313882;63,1
4;51;3x3;5;810;71;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;72;12,5;NA;N;0,012271846;63,1
4;51;3x3;5;810;73;13;NA;N;0,013273229;63,1
4;51;3x3;5;810;74;12;NA;N;0,011309734;63,1
4;51;3x3;5;810;75;12;NA;N;0,011309734;63,1
4;51;3x3;5;810;76;12;NA;N;0,011309734;63,1
4;51;3x3;5;810;77;12;NA;N;0,011309734;63,1
